rank_name,position,seat,seat_span,row_letter,seat_number,title,name,full_text
ĐẠI TÁ TRƯƠNG QUANG SINH,PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,F5,,F,5,ĐẠI TÁ,TRƯƠNG QUANG SINH,ĐẠI TÁ | TRƯƠNG QUANG SINH | PHÓ CHỦ NHIỆM UBKT | ĐẢNG ỦY QUÂN KHU
ĐẠI TÁ PHẠM ĐỚI,NGUYÊN PHÓ TMT QUÂN KHU,F7,,F,7,ĐẠI TÁ,PHẠM ĐỚI,ĐẠI TÁ | PHẠM ĐỚI | NGUYÊN PHÓ TMT | QUÂN KHU
THIẾU TƯỚNG PHẠM NGỌC TÍNH,NGUYÊN PHÓ TMT QUÂN KHU,F9,,F,9,THIẾU TƯỚNG,PHẠM NGỌC TÍNH,THIẾU TƯỚNG | PHẠM NGỌC TÍNH | NGUYÊN PHÓ TMT | QUÂN KHU
THIẾU TƯỚNG NGUYỄN NGỌC MINH,NGUYÊN PHÓ TMT QUÂN KHU,F11,,F,11,THIẾU TƯỚNG,NGUYỄN NGỌC MINH,THIẾU TƯỚNG | NGUYỄN NGỌC MINH | NGUYÊN PHÓ TMT | QUÂN KHU
THIẾU TƯỚNG NGUYỄN ĐỨC LIÊN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F13,,F,13,THIẾU TƯỚNG,NGUYỄN ĐỨC LIÊN,THIẾU TƯỚNG | NGUYỄN ĐỨC LIÊN | NGUYÊN PHÓ CHỦ NHIỆM | CHÍNH TRỊ QUÂN KHU
THIẾU TƯỚNG HÀ HUY LONG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F15,,F,15,THIẾU TƯỚNG,HÀ HUY LONG,THIẾU TƯỚNG | HÀ HUY LONG | NGUYÊN PHÓ CHỦ NHIỆM | CHÍNH TRỊ QUÂN KHU
THIẾU TƯỚNG ĐỖ QUANG DỰ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,F17,,F,17,THIẾU TƯỚNG,ĐỖ QUANG DỰ,THIẾU TƯỚNG | ĐỖ QUANG DỰ | NGUYÊN CHỦ NHIỆM | HẬU CẦN QUÂN KHU
THIẾU TƯỚNG TRƯƠNG HỒNG QUANG,NGUYÊN PHÓ TMT QUÂN KHU,F19,,F,19,THIẾU TƯỚNG,TRƯƠNG HỒNG QUANG,THIẾU TƯỚNG | TRƯƠNG HỒNG QUANG | NGUYÊN PHÓ TMT | QUÂN KHU
ĐẠI TÁ PHẠM CÔNG HỮU,PHÓ CHÍNH ỦY BINH CHỦNG HÓA HỌC,G20,,G,20,ĐẠI TÁ,PHẠM CÔNG HỮU,ĐẠI TÁ | PHẠM CÔNG HỮU | PHÓ CHÍNH ỦY | BINH CHỦNG HÓA HỌC
THIẾU TƯỚNG LÊ QUANG TRÍ,PHÓ GIÁM ĐỐC BỆNH VIỆN QUÂN Y 175,G18,,G,18,THIẾU TƯỚNG,LÊ QUANG TRÍ,THIẾU TƯỚNG | LÊ QUANG TRÍ | PHÓ GIÁM ĐỐC BỆNH VIỆN QUÂN Y 175
ĐẠI TÁ LÊ MẠNH TRƯỜNG,CỤC ĐT - HS BỘ QUỐC PHÒNG,G16,,G,16,ĐẠI TÁ,LÊ MẠNH TRƯỜNG,ĐẠI TÁ | LÊ MẠNH TRƯỜNG | CỤC ĐT - HS | BỘ QUỐC PHÒNG
ĐẠI TÁ PHẠM ANH TUẤN,TƯ LỆNH VÙNG 3 HẢI QUÂN,G14,,G,14,ĐẠI TÁ,PHẠM ANH TUẤN,ĐẠI TÁ | PHẠM ANH TUẤN | TƯ LỆNH | VÙNG 3 HẢI QUÂN
CHUẨN ĐÔ ĐỐC NGUYỄN ANH TUẤN,TƯ LỆNH VÙNG 4 HẢI QUÂN,G12,,G,12,CHUẨN ĐÔ ĐỐC,NGUYỄN ANH TUẤN,CHUẨN ĐÔ ĐỐC | NGUYỄN ANH TUẤN | TƯ LỆNH | VÙNG 4 HẢI QUÂN
THIẾU TƯỚNG TRẦN TRUNG THIẾT,PHÓ CỤC TRƯỞNG CỤC TỔ CHỨC/TCCT,G10,,G,10,THIẾU TƯỚNG,TRẦN TRUNG THIẾT,THIẾU TƯỚNG | TRẦN TRUNG THIẾT | PHÓ CỤC TRƯỞNG | CỤC TỔ CHỨC/TCCT
THIẾU TƯỚNG NGUYỄN XUÂN THỦY,PHÓ CỤC TRƯỞNG CỤC TUYÊN HUẤN/TCCT,G8,,G,8,THIẾU TƯỚNG,NGUYỄN XUÂN THỦY,THIẾU TƯỚNG | NGUYỄN XUÂN THỦY | PHÓ CỤC TRƯỞNG | CỤC TUYÊN HUẤN/TCCT
ĐỒNG CHÍ NGUYỄN THỊ MỸ YÊN,PHÓ VỤ TRƯỞNG VỤ ĐỊA BÀN V UBKT TRUNG ƯƠNG,G6,,G,6,ĐỒNG CHÍ,NGUYỄN THỊ MỸ YÊN,ĐỒNG CHÍ | NGUYỄN THỊ MỸ YÊN | PHÓ VỤ TRƯỞNG | VỤ ĐỊA BÀN V | UBKT TRUNG ƯƠNG
ĐỒNG CHÍ BÙI QUỐC KHÁNH,SỸ QUAN BIỆT PHÁI VỤ THAM MƯU TH VĂN PHÒNG TWĐ,G4,,G,4,ĐỒNG CHÍ,BÙI QUỐC KHÁNH,ĐỒNG CHÍ | BÙI QUỐC KHÁNH | SỸ QUAN BIỆT PHÁI | VỤ THAM MƯU TH | VĂN PHÒNG TWĐ
SỸ QUAN TIẾP CẬN,,G2,,G,2,SỸ QUAN,TIẾP CẬN,SỸ QUAN | TIẾP CẬN
ĐẠI TÁ VÕ VĂN BÁ,PHÓ TMT QUÂN KHU,G1,,G,1,ĐẠI TÁ,VÕ VĂN BÁ,ĐẠI TÁ | VÕ VĂN BÁ | PHÓ TMT | QUÂN KHU
