rank_name,position,seat
ĐẠI BIỂU BTL QUÂN KHU 3,,D16
ĐẠI BIỂU BTL QUÂN KHU 4,,D18
ĐẠI BIỂU BTL QUÂN KHU 7,,D20
THIẾU TƯỚNG VÕ VĂN HƯNG,CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,E1
THIẾU TƯỚNG LƯU XUÂN PHƯƠNG,PHÓ TMT QUÂN KHU,E3
THIẾU TƯỚNG ĐOÀN VĂN NHẤT,PHÓ CN CHÍNH TRỊ QUÂN KHU,E5
TRUNG TƯỚNG LÊ ANH THƠ,NGUYÊN CHÍNH ỦY HỌC VIỆN LỤC QUÂN,E7
THIẾU TƯỚNG ĐOÀN KIỂU,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E9
THIẾU TƯỚNG NGUYỄN ĐÌNH TIẾN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E11
THIẾU TƯỚNG CAO PHI HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E13
THIẾU TƯỚNG NGUYỄN NGỌC MINH,NGUYÊN PHÓ TMT QUÂN KHU,E15
THIẾU TƯỚNG NGUYỄN NGỌC ÂN,NGUYÊN PHÓ TMT QUÂN KHU,E17
THIẾU TƯỚNG TỐNG PHÚ,PHÓ GIÁM ĐỐC HỌC VIỆN LỤC QUÂN,E19
ĐẠI BIỂU VỤ ĐỊA PHƯƠNG II,BAN TỔ CHỨC TW,E2
ĐỒNG CHÍ NGUYỄN ĐỨC CUNG,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II VĂN PHÒNG TWĐ,E4
ĐẠI BIỂU VỤ ĐỊA PHƯƠNG II,BAN NỘI CHÍNH TW,E6
ĐẠI BIỂU VỤ ĐỊA PHƯƠNG II,BAN TUYÊN GIÁO VÀ DÂN VẬN,E8
ĐẠI BIỂU VỤ ĐỊA BÀN V,ỦY BAN KIỂM TRA TRUNG ƯƠNG,E10
ĐẠI BIỂU BTL QUÂN KHU 9,,E12
ĐẠI BIỂU BTL QUÂN ĐOÀN 12,,E14
ĐẠI BIỂU BTL QUÂN ĐOÀN 34,,E16
ĐẠI BIỂU BTL QUÂN KHU THỦ ĐÔ HÀ NỘI,,E18
ĐẠI BIỂU QUÂN CHỦNG PK - KQ,,E20
ĐẠI TÁ VÕ VĂN BÁ,PHÓ TMT QUÂN KHU,F1
ĐẠI TÁ ĐỖ THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,F3
ĐẠI TÁ LƯƠNG KẾ ĐIỀM,CHỦ NHIỆM HC - KT QUÂN KHU,F5
ĐẠI TÁ TRƯƠNG QUANG SINH,PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,F7
THIẾU TƯỚNG NGUYỄN VIẾT HOÀNG,NGUYÊN PHÓ TMT QUÂN KHU,F9
THIẾU TƯỚNG PHẠM NGỌC TÍNH,NGUYÊN PHÓ TMT QUÂN KHU,F11
THIẾU TƯỚNG TRƯƠNG HỒNG QUANG,NGUYÊN PHÓ TMT QUÂN KHU,F13
THIẾU TƯỚNG VÕ DUY CHÍN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F15
