rank_name,position,seat
ĐẠI TÁ NGUYỄN HỮU QUẢNG,THƯ KÝ BỘ TRƯỞNG BỘ QUỐC PHÒNG,D2
THIẾU TƯỚNG TRẦN MINH HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D3
TRUNG TƯỚNG HÀ THỌ BÌNH,TƯ LỆNH QUÂN KHU 4,D4
THIẾU TƯỚNG VÕ DUY CHÍN,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,D5
TRUNG TƯỚNG NGUYỄN HỒNG LÂM,CỤC TRƯỞNG CỤC TÀI CHÍNH,D6
TRUNG TƯỚNG LÊ ANH THƠ,NGUYÊN CHÍNH ỦY HỌC VIỆN LỤC QUÂN,D7
TRUNG TƯỚNG NGUYỄN BÁ HÙNG,CHÍNH ỦY HỌC VIỆN CHÍNH TRỊ,D8
THIẾU TƯỚNG ĐINH DƯƠNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D9
TRUNG TƯỚNG NGÔ TRỌNG CƯỜNG,PHÓ GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,D10
TRUNG TƯỚNG NGUYỄN THANH TUẤN,NGUYÊN CỤC TRƯỞNG CỤC TUYÊN HUẤN,D11
THIẾU TƯỚNG LÊ ĐÌNH CƯỜNG,TƯ LỆNH CẢNH SÁT BIỂN,D12
TRUNG TƯỚNG LÊ NGỌC NAM,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,D13
THIẾU TƯỚNG TRẦN ĐẠI THẮNG CHÍNH ỦY QUÂN ĐOÀN 12,,D14
TRUNG TƯỚNG TẠ NHÂN,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,D15
THIẾU TƯỚNG TRẦN XUÂN MẠNH,PHÓ TƯ LỆNH - TMT QUÂN KHU 1,D16
TRUNG TƯỚNG TRẦN PHƯỚC TỚI,NGUYÊN PHÓ VIỆN TRƯỞNG VKSNDTC,D17
THIẾU TƯỚNG LƯU NAM TIẾN,CHÍNH ỦY BTL THỦ ĐÔ HÀ NỘI,D18
THIẾU TƯỚNG TRẦN THANH HẢI,PHÓ TƯ LỆNH QUÂN KHU,D19
THIẾU TƯỚNG NGUYỄN QUỐC HƯƠNG,PHÓ TƯ LỆNH QUÂN KHU,D20
THIẾU TƯỚNG VÕ VĂN HƯNG,CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,E1
