rank_name,position,seat
THIẾU TƯỚNG TRẦN QUANG TUẤN,TƯ LỆNH CẢNH SÁT BIỂN VÙNG 2,F18
THIẾU TƯỚNG NGUYỄN KHẮC HUY,PHÓ CỤC TRƯỞNG CỤC QH - NT,F16
THIẾU TƯỚNG DƯƠNG MINH HẢI,CỤC TRƯỞNG CỤC KHOA HỌC QUÂN SỰ,F14
THIẾU TƯỚNG BÙI TRỌNG HIẾU,PHÓ CỤC TRƯỞNG CỤC ĐỐI NGOẠI,F12
THIẾU TƯỚNG HOÀNG HỮU QUÝ,PHÓ CHÁNH ÁN TÒA ÁN QUÂN SỰ TRUNG ƯƠNG,F10
THIẾU TƯỚNG ĐÀM THUẬN CÔNG,PHÓ VIỆN TRƯỞNG KIỂM SÁT QUÂN SỰ TW,F8
ĐỒNG CHÍ NGUYỄN THẾ HÒA,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN TG & DV,F6
ĐỒNG CHÍ PHẠM VĂN HỌC,KIỂM TOÁN TRƯỞNG KIỂM TOÁN NN CHUYÊN NGÀNH Ia,F4
ĐỒNG CHÍ VŨ NHẬT CHUNG,PHÓ VỤ TRƯỞNG VỤ THAM MƯU TH VĂN PHÒNG TWĐ,F2
ĐẠI TÁ LƯƠNG KẾ ĐIỀM,CHỦ NHIỆM HC - KT QUÂN KHU,F1
ĐẠI TÁ ĐỖ THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,F3
ĐẠI TÁ TRƯƠNG QUANG SINH,PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,F5
ĐẠI TÁ PHẠM ĐỚI,NGUYÊN PHÓ TMT QUÂN KHU,F7
THIẾU TƯỚNG PHẠM NGỌC TÍNH,NGUYÊN PHÓ TMT QUÂN KHU,F9
THIẾU TƯỚNG NGUYỄN NGỌC MINH,NGUYÊN PHÓ TMT QUÂN KHU,F11
THIẾU TƯỚNG NGUYỄN ĐỨC LIÊN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F13
THIẾU TƯỚNG HÀ HUY LONG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F15
THIẾU TƯỚNG ĐỖ QUANG DỰ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,F17
THIẾU TƯỚNG TRƯƠNG HỒNG QUANG,NGUYÊN PHÓ TMT QUÂN KHU,F19
ĐẠI TÁ PHẠM CÔNG HỮU,PHÓ CHÍNH ỦY BINH CHỦNG HÓA HỌC,G20
THIẾU TƯỚNG LÊ QUANG TRÍ,PHÓ GIÁM ĐỐC BỆNH VIỆN QUÂN Y 175,G18
ĐẠI TÁ LÊ MẠNH TRƯỜNG,CỤC ĐT - HS BỘ QUỐC PHÒNG,G16
