rank_name,position,seat
TRUNG TƯỚNG LÊ ANH THƠ,NGUYÊN CHÍNH ỦY HỌC VIỆN LỤC QUÂN,D7
THIẾU TƯỚNG ĐOÀN XUÂN BƯỜNG,CHÍNH ỦY QUÂN KHU 4,D8
TRUNG TƯỚNG TRƯƠNG ĐỨC NGHĨA,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,D9
THIẾU TƯỚNG TRẦN VĂN BẮC,TƯ LỆNH QUÂN KHU 2,D10
THIẾU TƯỚNG ĐINH DƯƠNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D11
ĐẠI BIỂU BTL QUÂN KHU 9,,D12
TRUNG TƯỚNG NGUYỄN THANH TUẤN,NGUYÊN CỤC TRƯỞNG CỤC TUYÊN HUẤN,D13
TRUNG TƯỚNG NGUYỄN BÁ HÙNG,CHÍNH ỦY HỌC VIỆN CHÍNH TRỊ,D14
TRUNG TƯỚNG LÊ NGỌC NAM,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,D15
TRUNG TƯỚNG NGUYỄN HỒNG LÂM,CỤC TRƯỞNG CỤC TÀI CHÍNH,D16
TRUNG TƯỚNG TẠ NHÂN,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,D17
THIẾU TƯỚNG TRẦN ĐẠI THẮNG,CHÍNH ỦY BTL QUÂN ĐOÀN 12,D18
TRUNG TƯỚNG TRẦN PHƯỚC TỚI,NGUYÊN PHÓ VIỆN TRƯỞNG VKSNDTC,D19
THIẾU TƯỚNG TRẦN XUÂN MẠNH,PHÓ TƯ LỆNH - TMT QUÂN KHU 1,D20
THIẾU TƯỚNG VÕ VĂN HƯNG,CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,E1
ĐỒNG CHÍ CAO HOÀNG SƠN,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN TỔ CHỨC TW,E2
THIẾU TƯỚNG LƯU XUÂN PHƯƠNG,PHÓ TMT QUÂN KHU,E3
ĐỒNG CHÍ NGUYỄN ĐỨC CUNG,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II VĂN PHÒNG TWĐ,E4
THIẾU TƯỚNG TỐNG PHÚ,PHÓ GIÁM ĐỐC HỌC VIỆN LỤC QUÂN,E5
ĐỒNG CHÍ ĐOÀN HỒNG NGỌC,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN NỘI CHÍNH TW,E6
ĐẠI BIỂU TRUNG ƯƠNG HỘI,CỰU CHIẾN BINH VIỆT NAM,E7
ĐỒNG CHÍ NGUYỄN THẾ HÒA,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN TG & DV,E8
THIẾU TƯỚNG ĐOÀN KIỂU,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E9
THIẾU TƯỚNG TRẦN NGỌC HỮU,PHÓ TƯ LỆNH BỘ ĐỘI BIÊN PHÒNG,E10
THIẾU TƯỚNG NGUYỄN ĐÌNH TIẾN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E11
THIẾU TƯỚNG LÊ ĐÌNH CƯỜNG,TƯ LỆNH CẢNH SÁT BIỂN,E12
THIẾU TƯỚNG CAO PHI HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E13
THIẾU TƯỚNG HÀ TẤT ĐẠT,PHÓ TƯ LỆNH QUÂN KHU 3,E14
